Date,Delhi,Kolkata,Mumbai,Chennai
"August 01,2017",524,543,502.5,533
"July 11,2017",No Change,No Change,543,No Change
"July 01,2017",564,584,553.5,574
"June 01,2017",552.5,570.5,554,559.5
"May 01,2017",631,650,635,638.5
"April 01,2017",723,742,729.5,731.5
"March 01,2017",737.5,757.5,744.5,746.5
"February 01,2017",651.5,672,656,661
"January 01,2017",585,606,588,594.5
"December 01,2016",584,605.5,587,593.5
"November 01,2016",529.5,551,531,538.5
"October 28,2016",492,513.5,492,501
"October 01,2016",490,512,490,499
"September 01,2016",466.5,491,468,477.5
"August 16,2016",487,514,489,499.5
"August 01,2016",No Change,No Change,485,No Change
"July 01,2016",537.5,565.5,537.5,550.5
"June 01,2016",548.5,576.5,547,560
"May 17,2016",No change,No change,525,No change
"May 01,2016",527.5,554.5,535,538
"April 09,2016",No Change,No Change,516,No Change
"April 01,2016",509.5,536.5,518,521
"March 01,2016",513.5,541,522.5,525.5
"February 01,2016",575,602,585.5,587
"January 01, 2016",657.5,686.5,671,671.5
"December 09, 2015",608,637.5,620,622.5
"December 01, 2015",606.5,636.5,618.5,621
"November 01, 2015",545,575,555,559.5
"October 1, 2015",517.5,548,526.5,532
"September 1, 2015",559.5,593,572.5,577
"August 1, 2015",585,619,599,603.5
"July 1, 2015",608.5,644,623.5,627
"June 1, 2015",626.5,661.5,637.5,620
"May 1, 2015",616,649,627.5,608.5
"April 1, 2015",621,654.5,632,614
"March 1, 2015",610,646,624,605.5
"February 1, 2015",605,640.5,619,600
"January 1, 2015",708.5,746,725.5,705
"December 1, 2014",752,791,770.5,749.5
"November 1, 2014",865,905,887,863.5
"October 23, 2014",883.5,925.5,906,883
"October 01, 2014",880,922,902.5,879.5
"September 01, 2014",901,945,926.5,902.5
"August 01, 2014",920,964.5,947,922
"July 01, 2014",922.5,966,949.5,924
"June 25, 2014",906,946,933,905
"June 1, 2014",905,946,933,905
"May 1, 2014",928.5,970,957,928.5
"April 1, 2014",980.5,1017.5,1011,981
"March 31, 2014",1080.5,1118,1115.5,1081.5
"February 28, 2014",1134,1169,1167.5,1132
"January 31, 2014",1241,1270,1273,1234
"January 4, 2014",1241,1270,1264.5,1234
"December 11, 2013",1021,1050.5,1038,1014